Team,G,MP-Total,FGM-Total,FGA-Total,FG%-Total,3PM-Total,3PA-Total,3P%-Total,2PM-Total,2PA-Total,2P%-Total,FTM-Total,FTA-Total,FT%-Total,ORB-Total,DRB-Total,TRB-Total,AST-Total,STL-Total,BLK-Total,TOV-Total,PF-Total,PTS-Total,Team2,G2,MP-PG,FGM-PG,FGA-PG,FG%-PG,3PM-PG,3PA-PG,3P%-PG,2PM-PG,2PA-PG,2P%-PG,FTM-PG,FTA-PG,FT%-PG,ORB-PG,DRB-PG,TRB-PG,AST-PG,STL-PG,BLK-PG,TOV-PG,PF-PG,PTS-PG
Oklahoma City Thunder*,82,19805,3237,7169,.452,692,2116,.327,2545,5053,.504,1575,2113,.745,1002,2821,3823,1721,648,408,1230,1715,8741,Oklahoma City Thunder*,82,241.5,39.5,87.4,.452,8.4,25.8,.327,31.0,61.6,.504,19.2,25.8,.745,12.2,34.4,46.6,21.0,7.9,5.0,15.0,20.9,106.6
Brooklyn Nets,82,19755,3102,6987,.444,877,2591,.338,2225,4396,.506,1592,2020,.788,721,2879,3600,1756,593,387,1356,1726,8673,Brooklyn Nets,82,240.9,37.8,85.2,.444,10.7,31.6,.338,27.1,53.6,.506,19.4,24.6,.788,8.8,35.1,43.9,21.4,7.2,4.7,16.5,21.0,105.8
Minnesota Timberwolves,82,19805,3235,6922,.467,601,1723,.349,2634,5199,.507,1586,1986,.799,938,2540,3478,1940,654,370,1150,1646,8657,Minnesota Timberwolves,82,241.5,39.5,84.4,.467,7.3,21.0,.349,32.1,63.4,.507,19.3,24.2,.799,11.4,31.0,42.4,23.7,8.0,4.5,14.0,20.1,105.6
San Antonio Spurs*,82,19805,3222,6864,.469,753,1927,.391,2469,4937,.500,1440,1806,.797,821,2777,3598,1954,655,484,1101,1498,8637,San Antonio Spurs*,82,241.5,39.3,83.7,.469,9.2,23.5,.391,30.1,60.2,.500,17.6,22.0,.797,10.0,33.9,43.9,23.8,8.0,5.9,13.4,18.3,105.3
Indiana Pacers*,82,19855,3221,6931,.465,709,1885,.376,2512,5046,.498,1467,1811,.810,742,2702,3444,1844,669,409,1130,1597,8618,Indiana Pacers*,82,242.1,39.3,84.5,.465,8.6,23.0,.376,30.6,61.5,.498,17.9,22.1,.810,9.0,33.0,42.0,22.5,8.2,5.0,13.8,19.5,105.1
Charlotte Hornets,82,19830,3093,7000,.442,824,2347,.351,2269,4653,.488,1591,1953,.815,721,2853,3574,1891,571,390,942,1360,8601,Charlotte Hornets,82,241.8,37.7,85.4,.442,10.0,28.6,.351,27.7,56.7,.488,19.4,23.8,.815,8.8,34.8,43.6,23.1,7.0,4.8,11.5,16.6,104.9
Los Angeles Lakers,82,19705,3224,7164,.450,730,2110,.346,2494,5054,.493,1397,1853,.754,933,2636,3569,1716,674,320,1243,1698,8575,Los Angeles Lakers,82,240.3,39.3,87.4,.450,8.9,25.7,.346,30.4,61.6,.493,17.0,22.6,.754,11.4,32.1,43.5,20.9,8.2,3.9,15.2,20.7,104.6
New Orleans Pelicans,82,19905,3210,7130,.450,768,2196,.350,2442,4934,.495,1368,1825,.750,703,2879,3582,1869,638,453,1054,1490,8556,New Orleans Pelicans,82,242.7,39.1,87.0,.450,9.4,26.8,.350,29.8,60.2,.495,16.7,22.3,.750,8.6,35.1,43.7,22.8,7.8,5.5,12.9,18.2,104.3
New York Knicks,82,19855,3244,7256,.447,704,2022,.348,2540,5234,.485,1364,1731,.788,983,2723,3706,1786,581,455,1139,1668,8556,New York Knicks,82,242.1,39.6,88.5,.447,8.6,24.7,.348,31.0,63.8,.485,16.6,21.1,.788,12.0,33.2,45.2,21.8,7.1,5.5,13.9,20.3,104.3
Milwaukee Bucks*,82,19780,3182,6715,.474,720,1946,.370,2462,4769,.516,1413,1839,.768,723,2589,3312,1984,666,436,1145,1660,8497,Milwaukee Bucks*,82,241.2,38.8,81.9,.474,8.8,23.7,.370,30.0,58.2,.516,17.2,22.4,.768,8.8,31.6,40.4,24.2,8.1,5.3,14.0,20.2,103.6
Miami Heat,82,19780,3202,7037,.455,808,2213,.365,2394,4824,.496,1248,1768,.706,872,2705,3577,1742,588,469,1102,1680,8460,Miami Heat,82,241.2,39.0,85.8,.455,9.9,27.0,.365,29.2,58.8,.496,15.2,21.6,.706,10.6,33.0,43.6,21.2,7.2,5.7,13.4,20.5,103.2
Atlanta Hawks*,82,19880,3123,6918,.451,729,2137,.341,2394,4781,.501,1484,2039,.728,842,2793,3635,1938,672,397,1294,1491,8459,Atlanta Hawks*,82,242.4,38.1,84.4,.451,8.9,26.1,.341,29.2,58.3,.501,18.1,24.9,.728,10.3,34.1,44.3,23.6,8.2,4.8,15.8,18.2,103.2
Chicago Bulls*,82,19780,3169,7141,.444,623,1831,.340,2546,5310,.479,1474,1848,.798,999,2797,3796,1851,643,393,1112,1455,8435,Chicago Bulls*,82,241.2,38.6,87.1,.444,7.6,22.3,.340,31.0,64.8,.479,18.0,22.5,.798,12.2,34.1,46.3,22.6,7.8,4.8,13.6,17.7,102.9
Sacramento Kings,82,19880,3105,6734,.461,737,1960,.376,2368,4774,.496,1483,1913,.775,715,2652,3367,1844,627,324,1201,1667,8430,Sacramento Kings,82,242.4,37.9,82.1,.461,9.0,23.9,.376,28.9,58.2,.496,18.1,23.3,.775,8.7,32.3,41.1,22.5,7.6,4.0,14.6,20.3,102.8
Philadelphia 76ers,82,19830,3088,6992,.442,831,2443,.340,2257,4549,.496,1393,1806,.771,807,2706,3513,1949,692,420,1366,1793,8400,Philadelphia 76ers,82,241.8,37.7,85.3,.442,10.1,29.8,.340,27.5,55.5,.496,17.0,22.0,.771,9.8,33.0,42.8,23.8,8.4,5.1,16.7,21.9,102.4
Detroit Pistons,82,19805,3269,7282,.449,631,1915,.330,2638,5367,.492,1140,1586,.719,908,2838,3746,1732,574,310,973,1467,8309,Detroit Pistons,82,241.5,39.9,88.8,.449,7.7,23.4,.330,32.2,65.5,.492,13.9,19.3,.719,11.1,34.6,45.7,21.1,7.0,3.8,11.9,17.9,101.3
Orlando Magic,82,19805,3139,7133,.440,701,2139,.328,2438,4994,.488,1309,1753,.747,807,2734,3541,1820,580,396,1091,1584,8288,Orlando Magic,82,241.5,38.3,87.0,.440,8.5,26.1,.328,29.7,60.9,.488,16.0,21.4,.747,9.8,33.3,43.2,22.2,7.1,4.8,13.3,19.3,101.1
Utah Jazz*,82,19755,3033,6515,.466,791,2128,.372,2242,4387,.511,1401,1875,.747,771,2774,3545,1651,550,410,1118,1545,8258,Utah Jazz*,82,240.9,37.0,79.5,.466,9.6,26.0,.372,27.3,53.5,.511,17.1,22.9,.747,9.4,33.8,43.2,20.1,6.7,5.0,13.6,18.8,100.7
Memphis Grizzlies*,82,19905,2984,6854,.435,767,2169,.354,2217,4685,.473,1504,1918,.784,886,2621,3507,1744,653,344,1059,1840,8239,Memphis Grizzlies*,82,242.7,36.4,83.6,.435,9.4,26.5,.354,27.0,57.1,.473,18.3,23.4,.784,10.8,32.0,42.8,21.3,8.0,4.2,12.9,22.4,100.5
Dallas Mavericks,82,19780,2968,6750,.440,878,2473,.355,2090,4277,.489,1215,1516,.801,647,2516,3163,1705,614,307,972,1567,8029,Dallas Mavericks,82,241.2,36.2,82.3,.440,10.7,30.2,.355,25.5,52.2,.489,14.8,18.5,.801,7.9,30.7,38.6,20.8,7.5,3.7,11.9,19.1,97.9
League Average,82,19813,3202,7004,.457,792,2214,.358,2410,4790,.503,1463,1895,.772,831,2737,3568,1855,632,389,1144,1632,8658,League Average,82,241.6,39.0,85.4,.457,9.7,27.0,.358,29.4,58.4,.503,17.8,23.1,.772,10.1,33.4,43.5,22.6,7.7,4.7,14.0,19.9,105.6
